"","alpha","Method","coverage","width","simul_id","width_base","diff_coverage","ratio_width"
"2157",0.02,"DKW",0.99125,4.36883183436102,8,3.32319444543124,0.01125,1.31464827174568
"2158",0.03,"DKW",0.9807,3.55143547019595,8,3.11595489362727,0.0106999999999999,1.13975830569926
"2159",0.04,"DKW",0.96805,3.20220487569329,8,2.93815458716279,0.00804999999999989,1.08986943358398
"2160",0.05,"DKW",0.95675,2.97020646499823,8,2.72524921267483,0.00675000000000003,1.08988434935937
"2161",0.06,"DKW",0.9481,2.8390493994883,8,2.58360761290858,0.0081,1.09887019425994
"2162",0.07,"DKW",0.93685,2.66724686956584,8,2.5234968318793,0.00685000000000002,1.05696461983647
"2163",0.08,"DKW",0.92445,2.56722097052635,8,2.47079187040594,0.00445000000000007,1.03902760943785
"2164",0.09,"DKW",0.91195,2.48617889049384,8,2.42354315145718,0.00195000000000012,1.02584469725617
"2165",0.1,"DKW",0.90435,2.43614783950956,8,2.37636416341634,0.00435000000000008,1.02515762399281
"2166",0.11,"DKW",0.89275,2.35948969360863,8,2.32614419946136,0.00275000000000003,1.01433509330806
"2167",0.12,"DKW",0.8843,2.3093646802827,8,2.27717990089819,0.00429999999999997,1.01413361297094
"2168",0.13,"DKW",0.8753,2.26674324480959,8,2.22869977956179,0.00530000000000008,1.01706980258027
"2169",0.14,"DKW",0.8574,2.16389554237763,8,2.1812292974643,-0.00260000000000005,0.992053217372962
"2170",0.15,"DKW",0.84935,2.10809684653381,8,2.13373897601065,-0.000649999999999928,0.98798253686832
"2171",0.16,"DKW",0.84055,2.05761799392786,8,2.08591488400252,0.00055000000000005,0.986434302621037
"2172",0.17,"DKW",0.82725,1.98548286951321,8,2.03249461111007,-0.00275000000000003,0.976869930508118
"2173",0.18,"DKW",0.82045,1.94972035658085,8,1.97229862287256,0.000450000000000061,0.988552308443621
"2174",0.19,"DKW",0.80875,1.89604278771735,8,1.89731303674059,-0.00124999999999997,0.999330501083039
"2175",0.2,"DKW",0.8011,1.86800823366349,8,1.80115518018489,0.0011000000000001,1.03711676495955
"2176",0.21,"DKW",0.7936,1.83724900764707,8,1.73411239084782,0.00360000000000005,1.05947516282312
"2177",0.22,"DKW",0.7864,1.81143214931752,8,1.70075141231597,0.00639999999999996,1.06507755113419
"2178",0.23,"DKW",0.77455,1.77139919343779,8,1.67423061689947,0.00455000000000005,1.05803774913534
"2179",0.24,"DKW",0.7634,1.73772768539657,8,1.65071179542492,0.00340000000000007,1.05271416258903
"2180",0.25,"DKW",0.755,1.71220525282295,8,1.62821664989671,0.00499999999999989,1.05158318638467
"2181",0.26,"DKW",0.7445,1.6752524380758,8,1.60693476503163,0.00449999999999995,1.04251427906772
"2182",0.27,"DKW",0.7372,1.65174907978642,8,1.5861833595933,0.0072000000000001,1.04133552391441
"2183",0.28,"DKW",0.724,1.61631830746585,8,1.56601346120277,0.004,1.03212286963641
"2184",0.29,"DKW",0.71775,1.59110081258954,8,1.54636124187441,0.00775000000000015,1.02893215990133
"2185",0.3,"DKW",0.70915,1.5711410388137,8,1.527272549376,0.00914999999999999,1.02872341904896
"2186",0.31,"DKW",0.6977,1.54580160137701,8,1.50897305766475,0.00770000000000004,1.02440636267506
"2187",0.32,"DKW",0.6837,1.5213309010089,8,1.49120420745438,0.00370000000000004,1.02020292955447
"2188",0.33,"DKW",0.67215,1.48939581777111,8,1.47307498882528,0.0021500000000001,1.01107942845384
"2189",0.34,"DKW",0.6635,1.47031780606799,8,1.45543852922421,0.00350000000000006,1.01022322588348
"2190",0.35,"DKW",0.65545,1.45121003870847,8,1.43797721241865,0.00544999999999995,1.00920238942282
"2191",0.36,"DKW",0.64255,1.42593883493631,8,1.42101590788556,0.00255000000000005,1.00346437152704
"2192",0.37,"DKW",0.63455,1.41271588773909,8,1.40356147287013,0.00455000000000005,1.00652227568646
"2193",0.38,"DKW",0.62705,1.39937388406366,8,1.38634796014859,0.00705,1.00939585464076
"2194",0.39,"DKW",0.61355,1.38104591736113,8,1.3684476876473,0.00355000000000016,1.00920621944671
"2195",0.4,"DKW",0.60595,1.37136723699382,8,1.34869639616764,0.0059499999999999,1.01680944717477
"2196",0.41,"DKW",0.598,1.36091726189152,8,1.32825577478805,0.00800000000000001,1.02458975727674
"2197",0.42,"DKW",0.5907,1.34873215473975,8,1.30787898495591,0.0106999999999999,1.03123620017889
"2198",0.43,"DKW",0.58355,1.33582411066411,8,1.28751834605312,0.01355,1.03751850585979
"2199",0.44,"DKW",0.5722,1.31186489547423,8,1.26682688890588,0.0122,1.03555182398066
"2200",0.45,"DKW",0.56415,1.29815242735784,8,1.24582362120737,0.0141499999999999,1.04200338254925
"2201",0.46,"DKW",0.55625,1.28429953214697,8,1.2250646799691,0.0162500000000001,1.04835242836269
"2202",0.47,"DKW",0.5421,1.25853091195927,8,1.20413835544474,0.0121,1.04517135117288
"2203",0.48,"DKW",0.5344,1.24073508408966,8,1.18287031538754,0.0144,1.04891894567762
"2204",0.49,"DKW",0.52065,1.21521492645405,8,1.16148123898358,0.01065,1.04626306966224
"2205",0.5,"DKW",0.51295,1.19298361134619,8,1.13993152738757,0.01295,1.04653971110019
"2206",0.02,"DW",0.9807,3.55143547019595,8,3.32319444543124,0.000699999999999923,1.06868121276457
"2207",0.03,"DW",0.96805,3.20220487569329,8,3.11595489362727,-0.00195000000000001,1.02768011252102
"2208",0.04,"DW",0.96045,3.03683408896196,8,2.93815458716279,0.000450000000000061,1.03358553774887
"2209",0.05,"DW",0.95285,2.90106380836686,8,2.72524921267483,0.00285000000000002,1.06451321768091
"2210",0.06,"DW",0.9401,2.71604353794887,8,2.58360761290858,9.9999999999989e-05,1.05126007694767
"2211",0.07,"DW",0.93275,2.62727190223415,8,2.5234968318793,0.00275000000000003,1.0411235191754
"2212",0.08,"DW",0.9206,2.53901567914399,8,2.47079187040594,0.000599999999999934,1.02761212288061
"2213",0.09,"DW",0.90855,2.46206327024649,8,2.42354315145718,-0.00145000000000006,1.01589413366382
"2214",0.1,"DW",0.9005,2.41210009357873,8,2.37636416341634,0.000499999999999945,1.01503806980114
"2215",0.11,"DW",0.8882,2.33276991546801,8,2.32614419946136,-0.00180000000000002,1.00284836856124
"2216",0.12,"DW",0.87995,2.28837933591722,8,2.27717990089819,-4.99999999999945e-05,1.00491811604986
"2217",0.13,"DW",0.8711,2.24457435868155,8,2.22869977956179,0.0011000000000001,1.00712279835326
"2218",0.14,"DW",0.8574,2.16389554237763,8,2.1812292974643,-0.00260000000000005,0.992053217372961
"2219",0.15,"DW",0.84935,2.10809684653381,8,2.13373897601065,-0.000649999999999928,0.987982536868319
"2220",0.16,"DW",0.84055,2.05761799392786,8,2.08591488400252,0.00055000000000005,0.986434302621037
"2221",0.17,"DW",0.82725,1.98548286951321,8,2.03249461111007,-0.00275000000000003,0.976869930508118
"2222",0.18,"DW",0.816,1.93162112752062,8,1.97229862287256,-0.004,0.979375590044931
"2223",0.19,"DW",0.80875,1.89604278771735,8,1.89731303674059,-0.00124999999999997,0.999330501083039
"2224",0.2,"DW",0.8011,1.86800823366349,8,1.80115518018489,0.0011000000000001,1.03711676495955
"2225",0.21,"DW",0.7936,1.83724900764707,8,1.73411239084782,0.00360000000000005,1.05947516282312
"2226",0.22,"DW",0.7864,1.81143214931752,8,1.70075141231597,0.00639999999999996,1.06507755113419
"2227",0.23,"DW",0.77455,1.77139919343779,8,1.67423061689947,0.00455000000000005,1.05803774913534
"2228",0.24,"DW",0.7634,1.73772768539657,8,1.65071179542492,0.00340000000000007,1.05271416258903
"2229",0.25,"DW",0.755,1.71220525282295,8,1.62821664989671,0.00499999999999989,1.05158318638467
"2230",0.26,"DW",0.7445,1.6752524380758,8,1.60693476503163,0.00449999999999995,1.04251427906772
"2231",0.27,"DW",0.7372,1.65174907978642,8,1.5861833595933,0.0072000000000001,1.04133552391441
"2232",0.28,"DW",0.72535,1.61936806396412,8,1.56601346120277,0.00534999999999997,1.03407033469583
"2233",0.29,"DW",0.71775,1.59110081258954,8,1.54636124187441,0.00775000000000015,1.02893215990133
"2234",0.3,"DW",0.70915,1.5711410388137,8,1.527272549376,0.00914999999999999,1.02872341904896
"2235",0.31,"DW",0.6977,1.54580160137701,8,1.50897305766475,0.00770000000000004,1.02440636267506
"2236",0.32,"DW",0.6837,1.5213309010089,8,1.49120420745438,0.00370000000000004,1.02020292955447
"2237",0.33,"DW",0.67215,1.48939581777111,8,1.47307498882528,0.0021500000000001,1.01107942845384
"2238",0.34,"DW",0.6635,1.47031780606799,8,1.45543852922421,0.00350000000000006,1.01022322588348
"2239",0.35,"DW",0.65545,1.45121003870847,8,1.43797721241865,0.00544999999999995,1.00920238942282
"2240",0.36,"DW",0.64255,1.42593883493631,8,1.42101590788556,0.00255000000000005,1.00346437152704
"2241",0.37,"DW",0.63455,1.41271588773909,8,1.40356147287013,0.00455000000000005,1.00652227568646
"2242",0.38,"DW",0.62705,1.39937388406366,8,1.38634796014859,0.00705,1.00939585464076
"2243",0.39,"DW",0.61355,1.38104591736113,8,1.3684476876473,0.00355000000000016,1.00920621944671
"2244",0.4,"DW",0.60595,1.37136723699382,8,1.34869639616764,0.0059499999999999,1.01680944717477
"2245",0.41,"DW",0.598,1.36091726189152,8,1.32825577478805,0.00800000000000001,1.02458975727674
"2246",0.42,"DW",0.5907,1.34873215473975,8,1.30787898495591,0.0106999999999999,1.03123620017889
"2247",0.43,"DW",0.58355,1.33582411066411,8,1.28751834605312,0.01355,1.03751850585979
"2248",0.44,"DW",0.57555,1.31892535217768,8,1.26682688890588,0.01555,1.04112516376787
"2249",0.45,"DW",0.56415,1.29815242735784,8,1.24582362120737,0.0141499999999999,1.04200338254925
"2250",0.46,"DW",0.55625,1.28429953214697,8,1.2250646799691,0.0162500000000001,1.04835242836269
"2251",0.47,"DW",0.5468,1.26659006422256,8,1.20413835544474,0.0167999999999999,1.05186423013222
"2252",0.48,"DW",0.5344,1.24073508408966,8,1.18287031538754,0.0144,1.04891894567762
"2253",0.49,"DW",0.52065,1.21521492645405,8,1.16148123898358,0.01065,1.04626306966224
"2254",0.5,"DW",0.515,1.19813545712265,8,1.13993152738757,0.0150000000000001,1.05105914551593
"2255",0.02,"DKW new",0.99125,4.36883183436102,8,3.32319444543124,0.01125,1.31464827174568
"2256",0.03,"DKW new",0.97615,3.40965668104991,8,3.11595489362727,0.00614999999999988,1.09425739378427
"2257",0.04,"DKW new",0.96425,3.12063162958682,8,2.93815458716279,0.00425000000000009,1.06210600464023
"2258",0.05,"DKW new",0.9565,2.96785568041251,8,2.72524921267483,0.00649999999999995,1.08902175500477
"2259",0.06,"DKW new",0.94355,2.77158754531946,8,2.58360761290858,0.00354999999999994,1.07275870045888
"2260",0.07,"DKW new",0.93685,2.66724686956584,8,2.5234968318793,0.00685000000000002,1.05696461983647
"2261",0.08,"DKW new",0.92445,2.56722097052635,8,2.47079187040594,0.00445000000000007,1.03902760943785
"2262",0.09,"DKW new",0.91195,2.48617889049384,8,2.42354315145718,0.00195000000000012,1.02584469725617
"2263",0.1,"DKW new",0.9005,2.41210009357873,8,2.37636416341634,0.000499999999999945,1.01503806980114
"2264",0.11,"DKW new",0.89275,2.35948969360863,8,2.32614419946136,0.00275000000000003,1.01433509330806
"2265",0.12,"DKW new",0.88305,2.30191676501575,8,2.27717990089819,0.00305,1.01086293801724
"2266",0.13,"DKW new",0.8711,2.24457435868155,8,2.22869977956179,0.0011000000000001,1.00712279835326
"2267",0.14,"DKW new",0.8574,2.16389554237763,8,2.1812292974643,-0.00260000000000005,0.992053217372961
"2268",0.15,"DKW new",0.84565,2.0826058201725,8,2.13373897601065,-0.00434999999999997,0.976035889856712
"2269",0.16,"DKW new",0.8392,2.04877404488436,8,2.08591488400252,-0.000800000000000023,0.982194460856001
"2270",0.17,"DKW new",0.82725,1.98548286951321,8,2.03249461111007,-0.00275000000000003,0.976869930508118
"2271",0.18,"DKW new",0.816,1.93162112752062,8,1.97229862287256,-0.004,0.979375590044931
"2272",0.19,"DKW new",0.80875,1.89604278771735,8,1.89731303674059,-0.00124999999999997,0.999330501083039
"2273",0.2,"DKW new",0.8011,1.86800823366349,8,1.80115518018489,0.0011000000000001,1.03711676495955
"2274",0.21,"DKW new",0.7936,1.83724900764707,8,1.73411239084782,0.00360000000000005,1.05947516282312
"2275",0.22,"DKW new",0.7825,1.7992652500905,8,1.70075141231597,0.00249999999999995,1.05792371363689
"2276",0.23,"DKW new",0.77455,1.77139919343779,8,1.67423061689947,0.00455000000000005,1.05803774913534
"2277",0.24,"DKW new",0.7634,1.73772768539657,8,1.65071179542492,0.00340000000000007,1.05271416258903
"2278",0.25,"DKW new",0.752,1.69931112872893,8,1.62821664989671,0.002,1.04366401660168
"2279",0.26,"DKW new",0.7445,1.6752524380758,8,1.60693476503163,0.00449999999999995,1.04251427906772
"2280",0.27,"DKW new",0.7332,1.64113651401171,8,1.5861833595933,0.00320000000000009,1.03464489403829
"2281",0.28,"DKW new",0.724,1.61631830746585,8,1.56601346120277,0.004,1.03212286963641
"2282",0.29,"DKW new",0.714,1.58029202241614,8,1.54636124187441,0.004,1.02194233767823
"2283",0.3,"DKW new",0.7085,1.56963324610599,8,1.527272549376,0.00850000000000017,1.02773617370868
"2284",0.31,"DKW new",0.6929,1.53801208998821,8,1.50897305766475,0.00290000000000012,1.01924423512796
"2285",0.32,"DKW new",0.6798,1.51146927304359,8,1.49120420745438,-0.000199999999999978,1.01358973203529
"2286",0.33,"DKW new",0.67215,1.48939581777111,8,1.47307498882528,0.0021500000000001,1.01107942845384
"2287",0.34,"DKW new",0.65915,1.46045844999546,8,1.45543852922421,-0.000850000000000017,1.00344907783493
"2288",0.35,"DKW new",0.6505,1.4434407848818,8,1.43797721241865,0.000500000000000167,1.00379948473172
"2289",0.36,"DKW new",0.64255,1.42593883493631,8,1.42101590788556,0.00255000000000005,1.00346437152704
"2290",0.37,"DKW new",0.63065,1.40552349226836,8,1.40356147287013,0.000650000000000039,1.00139788633142
"2291",0.38,"DKW new",0.62225,1.39295695282569,8,1.38634796014859,0.00225000000000009,1.00476719616365
